Code;Brand;Type;Colour;Size;Size2;Size3;Size4;Sex;    Price
1321314;Adidas;Superstar;Black;35;42;45;50;nő;342
1321315;Adidas;Stan Smith;White;36;39;46;49;mindkettő;1134
1321316;Adidas;Ultraboost;Red;36;40;46;50;férfi;413
1321317;Adidas;NMD Sale;Yellow;35;39;47;50;nő;352
1321318;Adidas;NMD;Purple;37;41;47;48;mindkettő;1423
1321319;Adidas;Adilette;Blue;36;42;44;50;nő;1203
1321320;Adidas;Ultra Boost;Brown;36;41;47;48;nő;480
1321321;Adidas;Forum;Black;37;42;43;49;nő;226
1321322;Adidas;NMD_R1;White;35;41;45;49;mindkettő;668
1321323;Adidas;Gazelle;Red;37;41;44;49;mindkettő;476
1321324;Adidas;NMD R1;Yellow;38;40;47;48;mindkettő;788
1321325;Adidas;Nizza;Purple;35;42;43;49;mindkettő;981
1321326;Adidas;Yeezy;Blue;37;41;46;50;mindkettő;117
1321327;Adidas;Continental;Brown;37;39;45;49;nő;1031
1321328;Adidas;Ozweego;Black;37;41;45;50;mindkettő;381
1321329;Adidas;Swift Run;White;35;42;43;49;mindkettő;500
1321330;Adidas;Campus;Red;36;40;44;51;férfi;587
1321331;Adidas;Samba;Yellow;38;41;43;50;mindkettő;1158
1321332;Adidas;ZX Flux;Purple;38;39;43;48;nő;1399
1321333;Adidas;4D91;Blue;35;39;43;48;nő;546
1321334;Adidas;ZX 2K;Brown;37;41;43;51;mindkettő;340
1321335;Adidas;Grand Court;Black;38;42;43;51;férfi;224
1321336;Adidas;Ozelia;White;37;42;47;49;férfi;701
1321337;Adidas;Tensaur;Red;35;41;44;50;férfi;586
1321338;Adidas;Superstar;Yellow;35;42;43;49;férfi;1339
1321339;Adidas;Lite Racer;Purple;37;42;44;48;nő;1313
1321340;Adidas;Supernova;Blue;35;41;43;50;mindkettő;972
1321341;Adidas;Superstar;Brown;37;39;44;50;nő;571
1321342;adidas;Nite Jogger;Black;35;41;44;50;nő;1464
1321343;Adidas;Ultraboost;White;35;41;45;51;férfi;1218
1321344;Adidas;Advantage;Red;38;40;43;49;nő;285
1321345;Adidas;Supercourt;Yellow;37;40;47;51;férfi;1076
1321346;Adidas;ZX 2K Boost;Purple;35;41;43;48;férfi;1332
1321347;Adidas;Deerupt;Blue;36;40;46;50;mindkettő;1486
1321348;Adidas;Fortarun;Brown;38;41;45;49;mindkettő;273
1321349;Adidas;Falcon;Black;37;42;44;51;mindkettő;1325
1321350;Adidas;Yeezy Boost;White;35;41;46;50;mindkettő;1094
1321351;Adidas;Forum;Red;36;42;45;48;férfi;1169
1321352;Adidas;ZX;Yellow;38;42;45;48;mindkettő;249
1321353;Adidas;ZX;Purple;37;41;45;49;nő;1014
1321354;Adidas;Rivalry;Blue;36;42;45;50;mindkettő;1149
